Database Field,Herbarium,Accession Number,LabelQty,Phylum,Class,Genus,Qualifier,Species,Species Author,Subspecies,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Microhabitat,Depth,Reproductive Status,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Originally identified as
PTM2154,UBC,A99960,1,Chlorophyta,Ulvophyceae,Ulva,,intestinalis,Linnaeus,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 seawall",49,18,10.3,-123,7,35,,,WGS 84,,High intertidal,on cobble,,,2023 Jul 04,Varoon Supratya,Siobhan Schenk,PTM2154,Varoon Supratya,2023,transect 3 seawall,Ulva intestinalis by Varoon Supratya 2023
PTM2155,UBC,A99961,1,Chlorophyta,Ulvophyceae,Ulva,,linza,Linnaeus,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 seawall",49,18,10.3,-123,7,35,,,WGS 84,,High intertidal,on cobble,,,2023 Jul 05,Varoon Supratya,Siobhan Schenk,PTM2155,Varoon Supratya,2023,transect 3 seawall,Ulva linza by Varoon Supratya 2023
PTM2157,UBC,A99962,1,Chlorophyta,Ulvophyceae,Ulva,,intestinalis,Linnaeus,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 10m quadrat",49,18,10.3,-123,7,35,,,WGS 84,,High intertidal,on cobble,,,2023 Jul 07,Varoon Supratya,Siobhan Schenk,PTM2157,Varoon Supratya,2023,transect 3 10m quadrat,Ulva intestinalis by Varoon Supratya 2023
PTM2158,UBC,A99963,1,Chlorophyta,Ulvophyceae,Ulva,,linza,Linnaeus,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 10m quadrat",49,18,10.3,-123,7,35,,,WGS 84,,High intertidal,on cobble,,,2023 Jul 08,Varoon Supratya,Siobhan Schenk,PTM2158,Varoon Supratya,2023,transect 3 10m quadrat,Ulva linza by Varoon Supratya 2023
PTM2166,UBC,A99964,1,Chlorophyta,Ulvophyceae,Ulva,,intestinalis,Linnaeus,,Canada,British Columbia,"Vancouver, Hadden Beach",49,16,41.2068,-123,8,55.8744,,,WGS 84,,Low intertidal,drift,,,2023 Jul 15,Varoon Supratya,Siobhan Schenk,PTM2166,Varoon Supratya,2023,,Ulva intestinalis by Varoon Supratya 2023
PTM2167,UBC,A99965,1,Chlorophyta,Ulvophyceae,Ulva,,intestinalis,Linnaeus,,Canada,British Columbia,"Delta, Centennial Beach",49,0,48.1968,-123,2,20.9832,,,WGS 84,,Low intertidal,drift,,,2023 Jul 16,Varoon Supratya,Siobhan Schenk,PTM2167,Varoon Supratya,2023,,Ulva intestinalis by Varoon Supratya 2023
PTM2168,UBC,A99966,1,Chlorophyta,Ulvophyceae,Ulva,,sp.,,,Canada,British Columbia,"Delta, Centennial Beach",49,0,48.1968,-123,2,20.9832,,,WGS 84,,Low intertidal,drift,,,2023 Jul 16,Varoon Supratya,Siobhan Schenk,PTM2168,Varoon Supratya,2023,,Ulva sp. by Varoon Supratya 2023
PTM2156,UBC,A99967,1,Chlorophyta,Ulvophyceae,Ulva,,fenestrata,Postels & Ruprecht,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 seawall",49,18,10.3,-123,7,35,,,WGS 84,,High intertidal,on cobble,,,2023 Jul 06,Varoon Supratya,Siobhan Schenk,PTM2156,Varoon Supratya,2023,transect 3 seawall,Ulva fenestrata by Varoon Supratya 2023
PTM2159,UBC,A99968,1,Chlorophyta,Ulvophyceae,Ulva,,fenestrata,Postels & Ruprecht,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 10m quadrat",49,18,10.3,-123,7,35,,,WGS 84,,High intertidal,on cobble,,,2023 Jul 09,Varoon Supratya,Siobhan Schenk,PTM2159,Varoon Supratya,2023,transect 3 10m quadrat,Ulva fenestrata by Varoon Supratya 2023
PTM2160,UBC,A99969,1,Chlorophyta,Ulvophyceae,Ulva,,intestinalis,Linnaeus,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 45m quadrat",49,18,10.3,-123,7,35,,,WGS 84,,Mid intertidal,on cobble,,,2023 Jul 10,Varoon Supratya,Siobhan Schenk,PTM2160,Varoon Supratya,2023,transect 3 45m quadrat,Ulva intestinalis by Varoon Supratya 2023
PTM2161,UBC,A99970,1,Chlorophyta,Ulvophyceae,Ulva,,linza,Linnaeus,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 45m quadrat",49,18,10.3,-123,7,35,,,WGS 84,,Mid intertidal,on cobble,,,2023 Jul 11,Varoon Supratya,Siobhan Schenk,PTM2161,Varoon Supratya,2023,transect 3 45m quadrat,Ulva linza by Varoon Supratya 2023
PTM2162,UBC,A99971,1,Chlorophyta,Ulvophyceae,Ulva,,fenestrata,Postels & Ruprecht,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 45m quadrat",49,18,10.3,-123,7,35,,,WGS 84,,Mid intertidal,on cobble,,,2023 Jul 12,Varoon Supratya,Siobhan Schenk,PTM2162,Varoon Supratya,2023,transect 3 45m quadrat,Ulva fenestrata by Varoon Supratya 2023
PTM2163,UBC,A99972,1,Chlorophyta,Ulvophyceae,Ulva,,intestinalis,Linnaeus,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 70m quadrat",49,18,10.3,-123,7,35,,,WGS 84,,Low intertidal,on cobble,,,2023 Jul 13,Varoon Supratya,Siobhan Schenk,PTM2163,Varoon Supratya,2023,transect 3 70m quadrat,Ulva intestinalis by Varoon Supratya 2023
PTM2164,UBC,A99973,1,Chlorophyta,Ulvophyceae,Ulva,,linza,Linnaeus,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 70m quadrat",49,18,10.3,-123,7,35,,,WGS 84,,Low intertidal,on cobble,,,2023 Jul 14,Varoon Supratya,Siobhan Schenk,PTM2164,Varoon Supratya,2023,transect 3 70m quadrat,Ulva linza by Varoon Supratya 2023
PTM2165,UBC,A99974,1,Chlorophyta,Ulvophyceae,Ulva,,fenestrata,Linnaeus,,Canada,British Columbia,"Stanley Park, Girl in a wetsuit, transect 3 70m quadrat",49,18,10.3,-123,7,35,,,WGS 84,,Low intertidal,on cobble,,,2023 Jul 15,Varoon Supratya,Siobhan Schenk,PTM2165,Varoon Supratya,2023,transect 3 70m quadrat,Ulva fenestrata by Varoon Supratya 2023
